,Antimicrobial Agent,S,SDD,I,R,Bacteria
0,AMP: Ampicillin,>=17,,>=14  <17,<=13,Enterobacterales
1,PIP: Piperacillin,>=21,,>=18  <21,<=17,Enterobacterales
2,MEC: Mecillinam,>=15,,>=12  <15,<=11,Enterobacterales
3,AMC: Amoxicillin-clavulanate,>=18,,>=14  <18,<=13,Enterobacterales
4,AMS: Ampicillin-sulbactam,>=15,,>=12  <15,<=11,Enterobacterales
5,C/T: Ceftolozane-tazobactam,>=22,,>=19  <21,<=18,Enterobacterales
6,CAZ-AVI: Ceftazidime-avibactam,>=21,,,<=20,Enterobacterales
7,IMI-REL: Imipenem-relebactam,>=25,,>=21  <25,<=20,Enterobacterales
8,MVB: Meropenem-vaborbactam,>=18,,>=15  <18,<=14,Enterobacterales
9,TZP: Piperacillin-tazobactam,>=25,>=21  <=24,,<=20,Enterobacterales
10,: Ticarcillin-clavulanate,>=20,,>=15  <20,<=14,Enterobacterales
11,CZO: Cefazolin,>=23,,>=20  <=22,<=19,Enterobacterales
12,CZO: Cefazolin,>=15,,,<=14,Enterobacterales
13,CPT: Ceftaroline,>=23,,>=20  <23,<=19,Enterobacterales
14,FEP: Cefepime,>=25,>=19  <=24,,<=18,Enterobacterales
15,CTX: Cefotaxime,>=26,,>=23  <26,<=22,Enterobacterales
16,CRO: Ceftriaxone,>=23,,>=20  <23,<=19,Enterobacterales
17,CTT: Cefotetan,>=16,,>=13  <16,<=12,Enterobacterales
18,FOX: Cefoxitin,>=18,,>=15  <18,<=14,Enterobacterales
19,CXM: Cefuroxime (parenteral),>=18,,>=15  <18,<=14,Enterobacterales
20,CAZ: Ceftazidime,>=21,,>=18  <21,<=17,Enterobacterales
21,MAN: Cefamandole,>=18,,>=15  <18,<=14,Enterobacterales
22,CMZ: Cefmetazole,>=16,,>=13  <16,<=12,Enterobacterales
23,CID: Cefonicid,>=18,,>=15  <18,<=14,Enterobacterales
24,CFP: Cefoperazone,>=21,,>=16  <=20,<=15,Enterobacterales
25,CZX: Ceftizoxime,>=25,,>=22  <25,<=21,Enterobacterales
26,MOX: Moxalactam,>=23,,>=15  <23,<=14,Enterobacterales
27,CFDC: Cefiderocol,>=16,,>=9  <16,<=8,Enterobacterales
28,CXM: Cefuroxime,>=23,,>=15  <23,<=14,Enterobacterales
29,CFZ: Cefazolin (surrogate test for oral cephalosporins and uncomplicated UTIs),>=15,,,<=14,Enterobacterales
30,LOR: Loracarbef,>=18,,>=15  <18,<=14,Enterobacterales
31,CEC: Cefaclor,>=18,,>=15  <18,<=14,Enterobacterales
32,: Cefdinir,>=20,,>=17  <20,<=16,Enterobacterales
33,CFM: Cefixime,>=19,,>=16  <19,<=15,Enterobacterales
34,CPD: Cefpodoxime,>=21,,>=18  <21,<=17,Enterobacterales
35,: Cefprozil,>=18,,>=15  <18,<=14,Enterobacterales
36,: Cefetamet,>=18,,>=15  <18,<=14,Enterobacterales
37,CTB: Ceftibuten,>=21,,>=18  <21,<=17,Enterobacterales
38,ATM: Aztreonam,>=21,,>=18  <21,<=17,Enterobacterales
39,DOR: Doripenem,>=23,,>=20  <23,<=19,Enterobacterales
40,ETP: Ertapenem,>=22,,>=19  <22,<=18,Enterobacterales
41,IPM: Imipenem,>=23,,>=20  <23,<=19,Enterobacterales
42,MEM: Meropenem,>=23,,>=20  <23,<=19,Enterobacterales
43,COL: Colistin,,,,,Enterobacterales
44,PMB: Polymyxin B,,,,,Enterobacterales
45,GEN: Gentamicin,>=18,,>=15  <18,<=14,Enterobacterales
46,TOB: Tobramycin,>=17,,>=13  <17,<=12,Enterobacterales
47,AMK: Amikacin,>=20,,>=17  <20,<=16,Enterobacterales
48,PLZ: Plazomicin,>=18,,>=15  <18,<=14,Enterobacterales
49,KAN: Kanamycin,>=18,,>=14  <18,<=13,Enterobacterales
50,NET: Netilmicin,>=15,,>=13  <15,<=12,Enterobacterales
51,STR: Streptomycin,>=15,,>=12  <15,<=11,Enterobacterales
52,AZM: Azithromycin,>=16,,>=11  <=15,<=10,Enterobacterales
53,TCY: Tetracycline,>=15,,>=12  <=14,<=11,Enterobacterales
54,DOX: Doxycycline,>=14,,>=11  <=13,<=10,Enterobacterales
55,MNO: Minocycline,>=16,,>=13  <=15,<=12,Enterobacterales
56,CIP: Ciprofloxacin,>=26,,>=22  <26,<=21,Enterobacterales
57,LVX: Levofloxacin,>=21,,>=17  <21,<=16,Enterobacterales
58,CIN: Cinoxacin,>=19,,>=15  <19,<=14,Enterobacterales
59,ENX: Enoxacin,>=18,,>=15  <18,<=14,Enterobacterales
60,GAT: Gatifloxacin,>=18,,>=15  <18,<=14,Enterobacterales
61,GEM: Gemifloxacin,>=20,,>=16  <=19,<=15,Enterobacterales
62,GPFX: Grepafloxacin,>=18,,>=15  <=17,<=14,Enterobacterales
63,LOM: Lomefloxacin,>=22,,>=19  <22,<=18,Enterobacterales
64,NAL: Nalidixic acid,>=19,,>=14  <=18,<=13,Enterobacterales
65,NOR: Norfloxacin,>=17,,>=13  <=16,<=12,Enterobacterales
66,OFX: Ofloxacin,>=16,,>=13  <16,<=12,Enterobacterales
67,FLX: Fleroxacin,>=19,,>=16  <=19,<=15,Enterobacterales
68,CIP: Ciprofloxacin,>=31,,>=21  <31,<=20,Enterobacterales
69,LVX: Levofloxacin,,,,,Enterobacterales
70,OFX: Ofloxacin,,,,,Enterobacterales
71,PEF: Pefloxacin (surrogate test for ciprofloxacin),>=24,,,<=23,Enterobacterales
72,SXT: Trimethoprim-sulfamethoxazole,>=16,,>=11  <=15,<=10,Enterobacterales
73,SSS: Sulfonamides,>=17,,>=13  <=16,<=12,Enterobacterales
74,TMP: Trimethoprim,>=16,,>=11  <=15,<=10,Enterobacterales
75,CHL: Chloramphenicol,>=18,,>=13  <=17,<=12,Enterobacterales
76,FOS: Fosfomycin,>=16,,>=13  <=15,<=12,Enterobacterales
77,NIT: Nitrofurantoin,>=17,,>=15  <=16,<=14,Enterobacterales
78,PIP: Piperacillin,>=22,,>=18  <22,<=17,Pseudomonas aeruginosa
79,TZP: Piperacillin-tazobactam,>=22,,>=18  <22,<=17,Pseudomonas aeruginosa
80,CZA: Ceftolozane-avibactam,>=21,,,<=20,Pseudomonas aeruginosa
81,C/T: Ceftazidime-tazobactam,>=21,,>=17  <21,<=16,Pseudomonas aeruginosa
82,IMR: Imipenem-relebactam,>=23,,>=20  <23,<=19,Pseudomonas aeruginosa
83,: Ticarcillin-clavulanate,>=24,,>=16  <24,<=15,Pseudomonas aeruginosa
84,CAZ: Ceftazidime,>=18,,>=15  <18,<=14,Pseudomonas aeruginosa
85,FEP: Cefepime,>=18,,>=15  <18,<=14,Pseudomonas aeruginosa
86,CFDC: Cefiderocol,>=18,,>=13  <18,<=12,Pseudomonas aeruginosa
87,ATM: Aztreonam,>=22,,>=16  <22,<=15,Pseudomonas aeruginosa
88,DOR: Doripenem,>=19,,>=16  <19,<=15,Pseudomonas aeruginosa
89,IPM: Imipenem,>=19,,>=16  <19,<=15,Pseudomonas aeruginosa
90,MEM: Meropenem,>=19,,>=16  <19,<=15,Pseudomonas aeruginosa
91,COL: Colistin or polymyxin B,,,,,Pseudomonas aeruginosa
92,GEN: Gentamicin,>=15,,>=13  <15,<=12,Pseudomonas aeruginosa
93,TOB: Tobramycin,>=19,,>=13  <19,<=12,Pseudomonas aeruginosa
94,AMK: Amikacin,>=17,,>=15  <17,<=14,Pseudomonas aeruginosa
95,NET: Netilmicin,>=15,,>=13 <15,<=12,Pseudomonas aeruginosa
96,CIP: Ciprofloxacin,>=25,,>=19 <25,<=18,Pseudomonas aeruginosa
97,LVX: Levofloxacin,>=22,,>=15 <22,<=14,Pseudomonas aeruginosa
98,LOM: Lomefloxacin,>=22,,>=19 <22,<=18,Pseudomonas aeruginosa
99,NOR: Norfloxacin,>=17,,>=13  <=16,<=12,Pseudomonas aeruginosa
100,OFX: Ofloxacin,>=16,,>=13 <16,<=12,Pseudomonas aeruginosa
101,GAT: Gatifloxacin,>=18,,>=13 <18,<=14,Pseudomonas aeruginosa
102,PIP: Piperacillin,>=21,,>=18 <20,<=17,Acinetobacter spp.
103,AMS: Ampicillin-sulbactam,>=15,,>=12 <14,<=11,Acinetobacter spp.
104,TZP: Piperacillin-tazobactam,>=21,,>=18 <20,<=17,Acinetobacter spp.
105,: Ticarcillin-clavulanate,>=20,,>=15 <19,<=14,Acinetobacter spp.
106,CAZ: Ceftazidime,>=18,,>=15 <17,<=14,Acinetobacter spp.
107,FEP: Cefepime,>=18,,>=15 <17,<=14,Acinetobacter spp.
108,CTX: Cefotaxime,>=23,,>=15 <22,<=14,Acinetobacter spp.
109,CRO: Ceftriaxone,>=21,,>=14 <20,<=13,Acinetobacter spp.
110,CFDC: Cefiderocol,>=15,,>=11 <14,<=10,Acinetobacter spp.
111,DOR: Doripenem,>=18,,>=15 <17,<=14,Acinetobacter spp.
112,IPM: Imipenem,>=22,,>=19 <21,<=18,Acinetobacter spp.
113,MEM: Meropenem,>=18,,>=15 <17,<=14,Acinetobacter spp.
114,COL: Colistin or polymyxin B,,,,,Acinetobacter spp.
115,GEN: Gentamicin,>=15,,>=13 <14,<=12,Acinetobacter spp.
116,TOB: Tobramycin,>=15,,>=13 <14,<=12,Acinetobacter spp.
117,AMK: Amikacin,>=17,,>=15 <17,<=14,Acinetobacter spp.
118,NET: Netilmicin,,,,,Acinetobacter spp.
119,DOX: Doxycycline,>=13,,>=10  <12,<=9,Acinetobacter spp.
120,MNO: Minocycline,>=16,,>=13 <15,<=12,Acinetobacter spp.
121,TCY: Tetracycline,>=15,,>=12 <14,<=11,Acinetobacter spp.
122,CIP: Ciprofloxacin,>=21,,>=16 <20,<=15,Acinetobacter spp.
123,LVX: Levofloxacin,>=17,,>=14 <16,<=13,Acinetobacter spp.
124,GAT: Gatifloxacin,>=18,,>=15 <17,<=14,Acinetobacter spp.
125,SXT: Trimethoprim- sulfamethoxazole,>=16,,>=11 <15,<=10,Acinetobacter spp.
126,: Ticarcillin-clavulanate,,,,,Burkholderia cepacia complex
127,CAZ: Ceftazidime,>=21,,>=18 <20,<=17,Burkholderia cepacia complex
128,MEM: Meropenem,>=20,,>=16 <19,<=15,Burkholderia cepacia complex
129,MNO: Minocycline,>=19,,>=15 <18,<=14,Burkholderia cepacia complex
130,LVX: Levofloxacin,,,,,Burkholderia cepacia complex
131,SXT: Trimethoprim- sulfamethoxazole,>=16,,>=11 <15,<=10,Burkholderia cepacia complex
132,CHL: Chloramphenicol,,,,,Burkholderia cepacia complex
133,: Ticarcillin-clavulanate,,,,,Stenotrophomonas maltophilia
134,CAZ: Ceftazidime,,,,,Stenotrophomonas maltophilia
135,CFDC: Cefiderocol,>=15,,,,Stenotrophomonas maltophilia
136,MNO: Minocycline,>=26,,>=21 <25,<=20,Stenotrophomonas maltophilia
137,LVX: Levofloxacin,>=17,,>=14 <16,<=13,Stenotrophomonas maltophilia
138,SXT: Trimethoprim- sulfamethoxazole,>=16,,>=11 <15,<=10,Stenotrophomonas maltophilia
139,CHL: Chloramphenicol,,,,,Stenotrophomonas maltophilia
140,PCN: Penicillin,>=15,,,<=14,Enterococcus spp.
141,AMP: Ampicillin,>=17,,,<=16,Enterococcus spp.
142,VAN: Vancomycin,>=17,,>=15 <17,<=14,Enterococcus spp.
143,DAL: Dalbavancin,,,,,Enterococcus spp.
144,ORI: Oritavancin,,,,,Enterococcus spp.
145,TLV: Telavancin,,,,,Enterococcus spp.
146,TEC: Teicoplanin,>=14,,,<=10,Enterococcus spp.
147,ERY: Erythromycin,>=23,,>=14  <22,<=13,Enterococcus spp.
148,TCY: Tetracycline,>=19,,>=15  <18,<=14,Enterococcus spp.
149,DOX: Doxycycline,>=16,,>=13  <=15,<=12,Enterococcus spp.
150,MNO: Minocycline,>=19,,>=15  <=18,<=14,Enterococcus spp.
151,CIP: Ciprofloxacin,>=21,,>=16  <21,<=15,Enterococcus spp.
